Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1972,1.647260274,775.4,292.9898758,1.337407407,23.304,0.014017456,0.001753293,0.013740741,1.528840808,N/A,N/A,N/A,N/A,N/A,N/A,2.460931926,42.42829757,0.016153691,0.001979759,0.023672653,3.581289898,N/A
1973,2.38109589,740.2,187.3818599,1.31037037,30.08142857,0.015890737,0.001815241,0.013714286,1.702420987,N/A,N/A,N/A,N/A,N/A,N/A,2.263475188,43.53252288,0.020394784,0.003202719,0.019950371,0.493422705,N/A
1974,1.246986301,730.2,264.7053961,1.479259259,21.944,0.023496639,0.001748608,0.017703704,2.23969297,N/A,N/A,N/A,N/A,N/A,N/A,4.491202923,23.69119231,0.05777533,0.004298878,0.04440062,6.931299296,N/A
1975,2.653287671,671.3,218.727899,1.51375,24.4304,0.026862417,0.005428579,0.05009375,2.301189153,N/A,N/A,N/A,N/A,N/A,N/A,3.194706987,53.23798957,0.048187711,0.011358807,0.096182363,5.107918182,N/A
1976,3.159699454,533.6,147.5049369,1.827142857,25.42114286,0.046220875,0.004356579,0.051047619,2.336656257,N/A,N/A,N/A,N/A,N/A,N/A,5.098472476,73.26905793,0.104568143,0.007611995,0.158755884,7.323695089,N/A
1977,1.759641873,709.2,197.9462687,2.418571429,27.75,0.032863042,0.003654685,0.025857143,2.445143868,N/A,N/A,N/A,N/A,N/A,N/A,4.143763199,65.59965995,0.075602018,0.006250991,0.057630204,5.554801057,N/A
1978,1.988292011,763.2,246.7508611,1.892758621,33.94344828,0.016869026,0.001103622,0.029724138,2.15478843,N/A,N/A,N/A,N/A,N/A,N/A,3.14154254,53.70270109,0.036496245,9.03E-04,0.041558517,4.70740015,N/A
1979,0.658630137,488.3,112.4390356,1.613333333,35.825,0.022712938,0.001562452,0.02875,1.952777014,N/A,N/A,N/A,N/A,N/A,N/A,2.277426114,51.28596162,0.033849889,1.23E-03,0.032603661,3.087650716,N/A
1980,2.412181303,624.4,87.83834673,3.101363636,48.198,0.029468581,0.005902228,0.04175,3.59602294,N/A,N/A,N/A,N/A,N/A,N/A,10.83871772,156.2526539,0.081401428,0.009259863,0.09478594,13.56040102,N/A
1981,3.396575342,638.8,90.0206659,2.29047619,45.56,0.039528092,0.004362602,0.038380952,2.799218822,7.650118,5.91937932,13.9992466,14.93248326,2.528613512,581.0140951,3.211502033,62.3117198,0.034399332,0.003588746,0.039588351,4.031922025,N/A
1982,1.995205479,684.4,179.2477612,1.948095238,39.984,0.012120962,0.001843317,0.014714286,2.651389548,4.84270995,3.609892392,8.48643755,8.303636808,1.020784679,616.3431831,3.60762972,73.24744051,0.026645682,0.002714253,0.030322885,5.083968443,88.8543
1983,4.29501385,571.3,131.6831228,1.868095238,36.73714286,0.027917408,0.001318376,0.016904762,2.649799986,7.080259294,7.513365806,14.5936251,12.00970437,3.397277964,544.0686345,5.488125729,100.7898843,0.053111633,0.002243388,0.047357367,7.325255863,87.4982
1984,3.074453552,523.5,86.20160735,4.506,61.848,0.022208206,0.000708412,0.0146,5.728145909,1.5978888,2.0838944,3.6817832,2.958051934,2.299556179,502.5209031,1.975304948,27.12527503,6.18E-03,1.05E-04,6.06E-03,2.544700483,94.3049
1985,2.225342466,958.1,333.5476464,2.012666667,34.604,0.038416573,0.002296616,0.0134,0.97583216,3.750031619,3.485116444,7.235148063,3.503484792,1.465506824,818.9309125,6.395143742,100.48469,0.092087241,0.003329969,0.049569442,4.282968067,103.4731
1986,2.493424658,633.3,177.2638347,2.068666667,35.80285714,0.036884258,0.003340044,0.0124,1.03035414,6.22494415,6.490383372,12.88342123,6.320042265,1.675929259,619.4227265,4.310009327,65.44614278,0.094635961,0.00844363,0.024707797,2.727705429,107.8806
1987,4.706849315,511.9,67.30470723,3.385714286,60.48857143,0.033112635,0.008600209,0.026846154,0.999198723,1.58472,1.340192,2.924912,1.788142891,4.012331463,509.4359042,13.84110433,257.8938836,0.120110853,0.053556225,0.085306672,3.975734893,97.2033
1988,3.462225275,605.1,78.2163031,4.83,63.54,0.045425876,0.003501398,0.0265,2.107997751,N/A,N/A,N/A,N/A,2.672087755,551.8354554,0.572092581,7.728471782,4.87E-03,3.67E-04,3.25E-03,0.232997798,86.1673
1989,2.42260274,634,142.2971297,2.463529412,44.66470588,0.012629718,0.000887641,0.012176471,1.014481895,9.352069726,7.857642983,17.20971271,8.704613364,1.541559318,595.3663686,10.74251584,195.1391344,0.053378165,0.003949385,0.064621307,5.85271596,99.7543
1990,2.473287671,536.5,51.53249139,4.084,54.336,0.022953656,0.001790547,0.0208,3.143403519,3.422751333,2.758090667,6.180842,3.521441121,1.867169856,532.0227255,7.196717998,106.9630568,0.029864796,7.63E-04,0.032136862,5.224411911,119.4557
1991,3.494505495,725.3,104.3049369,3.9064,43.3872,0.033855867,0.001688984,0.0182,3.498174701,1.432768629,1.184798743,2.617567371,1.626411752,2.89820193,658.2809081,15.11971279,176.4396462,0.113683234,0.002628311,0.069549596,13.40250854,104.4411
1992,1.859289617,906.2,295.704248,2.175961538,42.36,0.033509423,0.000554142,0.011711538,0.667744461,3.140935816,2.731387224,5.872323041,4.276331305,1.461867006,722.3077218,2.477840683,48.61496787,0.039884333,6.79E-04,0.016070878,1.10374642,106.09
1993,2.211538462,648,141.9003444,1.868285714,42.14057143,0.025558295,0.000416683,0.012371429,0.269144651,0.1953,0.42966,0.62496,0.673657999,1.496314539,602.6418138,2.852055725,61.79940081,0.038938404,6.81E-04,0.018961702,0.464582048,99.5792
1994,1.752054795,671.7,161.2932262,2.19,47.25,0.033584088,0.000320773,0.01875,0.09513529,N/A,N/A,N/A,N/A,1.157545711,582.6554546,0.61590944,13.31374539,0.009608783,7.91E-05,5.28E-03,0.027069296,107.3443
1995,3.905906593,603.9,167.7905855,1.492,34.632,0.018015048,0.000301798,0.0086,0.363516952,N/A,N/A,N/A,N/A,3.216001825,605.8927266,3.244756134,78.30010641,0.038538619,6.82E-04,0.02101744,0.810669542,106.2624
1996,1.138049451,920.7,271.3515499,1.698571429,37.27714286,0.024376889,0.000467606,0.016464286,0.473053675,N/A,N/A,N/A,N/A,0.267223355,729.9977253,4.123461107,80.00574405,0.061692819,1.28E-03,0.037073544,2.008463956,92.2929
1997,1.799315068,724.9,262.4734788,1.353333333,38.55,0.029766243,0.000640794,0.01825,0.18109086,N/A,N/A,N/A,N/A,1.178062897,644.4500027,2.467761873,67.75467687,0.038365038,1.43E-03,0.027031289,0.494044199,110.33
1998,5.334246575,656.5,145.421814,2.081333333,42.696,0.015944353,0.000363844,0.012066667,0.773099413,N/A,N/A,N/A,N/A,4.732369061,575.5272754,2.729366758,62.33482947,0.025197755,2.62E-04,0.017536266,0.737826954,130.9648
1999,3.977209945,861.9,262.3742824,2.295789474,46.15578947,0.023009238,0.000126502,0.010368421,0.655376445,N/A,N/A,N/A,N/A,3.505628711,815.230452,2.412573376,48.83323052,0.023619337,1.59E-04,0.013091483,0.821965306,120.1887
2000,3.80942623,842.7,317.2794489,1.640384615,39.41538462,0.033091302,0.000513307,0.008528846,0.153680085,N/A,N/A,N/A,N/A,3.480673346,688.4363682,3.199952863,74.66283811,0.060390685,8.56E-04,0.018385601,0.439730564,117.18635
2001,3.293956044,858.9,412.210333,1.355416667,33.62,0.027630839,0.000549305,0.011458333,0.134774995,N/A,N/A,N/A,N/A,2.744109745,802.7104557,2.011302541,40.91899892,0.032603472,7.57E-04,0.013916421,0.36644705,114.7391
2002,3.734203297,731.9,262.6718714,1.483809524,34.84,0.03002508,0.001604081,0.011571429,0.204894552,N/A,N/A,N/A,N/A,3.315530153,722.6613641,2.359818731,55.36003992,0.047994619,1.31E-03,0.017794472,0.477648998,95.1397
2003,2.514423077,566.4,61.15453502,2.374285714,49.80428571,0.029008221,0.00094683,0.012,0.412014491,N/A,N/A,N/A,N/A,2.011552998,552.8386349,12.70501101,267.8759993,0.124867212,0.008574426,0.059078322,1.841574384,123.7954
2004,2.222677596,858.4,326.1575201,1.914347826,42.6093913,0.017049474,0.000587724,0.007478261,0.232552932,N/A,N/A,N/A,N/A,1.918465933,744.1436383,2.530309426,53.48434894,0.025331505,1.21E-03,0.013815019,0.770247686,119.3179
2005,3.389041096,729.3,275.5177956,1.385,34.81725,0.018781853,0.000349989,0.00975,0.1806736,N/A,N/A,N/A,N/A,3.018011503,727.4422763,2.879590459,74.78327633,0.040960983,1.03E-03,0.019022052,0.381092501,132.0809
2006,5.097527473,599.8,144.1818599,2.705,45.256,0.053838075,0.005574377,0.024818182,0.264264696,N/A,N/A,N/A,N/A,4.501022778,564.3609105,5.000177732,68.9626505,0.052925112,0.005673428,0.038375395,0.750200645,121.526
2007,3.654109589,789.7,213.272101,3.722631579,35.23010526,0.029916096,0.002733587,0.015,0.870887599,N/A,N/A,N/A,N/A,3.007348421,675.6431774,8.175106487,59.5097787,0.05688302,0.00805687,0.028802387,2.032087271,75.7957
2008,2.358219178,790.4,272.7898967,1.739411765,32.34141176,0.044809235,0.000648456,0.008882353,0.255068612,N/A,N/A,N/A,N/A,1.660700821,676.1868217,1.633925775,28.33319127,0.116365136,4.38E-04,0.009883957,0.321806942,100.2202
2009,2.061977716,833.3,281.0727899,1.574761905,35.77428571,0.026956014,0.000485785,0.0101,0.21586253,N/A,N/A,N/A,N/A,1.456344763,732.7140825,1.795571689,41.0826827,0.032201538,8.56E-04,0.012366331,0.439621765,108.8718
2010,4.61739726,986.7,306.2190586,1.568571429,33.28571429,0.035349725,0.001191874,0.008666667,0.130820959,N/A,N/A,N/A,N/A,3.959640208,793.0131817,2.271066068,49.75421769,0.084421957,0.002239301,0.012381184,0.244480518,128.4974
2011,3.671232877,692.9,194.8215844,1.352222222,37.92266667,0.027307293,0.00054416,0.014222222,0.173023832,N/A,N/A,N/A,N/A,2.881477232,602.9100009,2.714733961,76.19889172,0.053266719,1.11E-03,0.024149553,0.307925686,104.8143
2012,6.027322404,593.2,61.79931114,2.04,50.46763636,0.057602976,0.000556938,0.029363636,0.248535256,N/A,N/A,N/A,N/A,5.370378853,544.6290958,5.134040566,134.8080595,0.081428925,1.82E-03,0.051831753,0.899232966,127.193
2013,2.868493151,738.5,174.8831228,2.158461538,48.278,0.031418818,0.001645819,0.010846154,0.63506979,N/A,N/A,N/A,N/A,1.99397725,710.7790907,1.871842519,44.34941875,0.028261294,0.002956163,0.013422432,0.97548959,100.674
2014,0.903424658,822.3,216.1037052,N/A,47.8584,0.032135597,0.001129483,0.0094375,N/A,N/A,N/A,N/A,N/A,0.367348564,688.4804583,N/A,66.12791885,0.036129798,1.47E-03,0.015799135,N/A,88.1715
