WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,N/AMGridTempC,N/AMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1992,3.895,1168.908,637.309,23.337,0.941,0.014,0.222,N/A,2.732,1.886,3.639,5.525,6.219,9.378,1041.19,21.111,0.906,0.014,0.252,N/A,2.613,137.98
1993,4.325,1277.112,654.654,24.81,1.372,0.013,0.153,N/A,2.778,1.72,4.561,6.281,7.786,9.442,1095.57,21.419,1.463,0.011,0.165,N/A,2.554,134.027
1994,4.56,1211.854,720.748,23,1.366,0.008,0.15,N/A,2.899,4.007,4.007,8.014,7.531,8.947,1194.72,20.83,1.521,0.005,0.162,N/A,2.695,138.57
1995,5.645,983.234,503.262,23.075,1.327,0.027,0.223,N/A,2.721,4.456,3.445,7.901,5.459,10.555,929.58,21.423,1.256,0.018,0.269,N/A,2.626,138.402
1996,3.984,1542.605,1075.505,21.332,1.389,0.021,0.185,N/A,2.607,4.103,4.465,8.568,7.375,9.184,1440.52,18.587,1.498,0.026,0.201,N/A,2.484,133.59
1997,3.793,1383.421,849.069,23.847,1.459,0.009,0.201,N/A,2.589,2.246,4.728,6.974,7.099,9.231,1265.38,22.137,1.474,0.008,0.25,N/A,2.482,140.634
1998,5.492,1433.068,868.492,22.723,1.479,0.014,0.13,N/A,2.222,2.603,3.706,6.309,5.714,10.934,1295.58,21.304,1.706,0.014,0.149,N/A,2.134,150.036
1999,5.707,1209.294,579.717,26.394,1.474,0.006,0.133,N/A,2.516,3.184,3.787,6.971,5.745,11.232,1116.21,23.798,1.463,0.004,0.156,N/A,2.411,136.46
2000,4.517,1204.844,891.378,25.131,1.425,0.003,0.153,N/A,2.721,4.029,4.288,8.317,8.229,9.852,1240.58,21.022,1.642,0.004,0.161,N/A,2.476,135.023
2001,3.556,1043.269,634.848,26.11,1.725,0.019,0.234,N/A,2.827,1.696,3.082,4.778,4.461,9.997,993.11,21.112,1.408,0.016,0.312,N/A,2.356,135.49
2002,5.372,1372.6,767.981,24.886,1.715,0.005,0.177,N/A,3.887,2.126,4.929,7.055,8.235,11.327,1193.24,19.966,1.776,0.005,0.161,N/A,2.777,135.694
2003,3.681,1174.274,637.589,24.765,1.427,0.008,0.133,N/A,2.687,1.65,2.955,4.605,5.548,9.167,1029.11,21.912,1.315,0.01,0.165,N/A,2.549,148.008
2004,4.114,1431.748,940.75,24.75,0.507,0.01,0.095,N/A,2.387,1.561,3.33,4.891,5.781,9.59,1332.61,22.704,0.654,0.009,0.093,N/A,2.32,149.604
2005,5.105,1224.408,698.548,28.639,0.765,0.009,0.079,N/A,2.452,3.179,2.792,5.971,5.261,10.386,1120.42,25.565,0.965,0.009,0.111,N/A,2.331,147.934
2006,5.012,1684.448,1134.186,24.573,1.35,0.003,0.065,N/A,1.906,0.938,1.949,2.887,3.946,10.439,1483.71,23.713,1.45,0.003,0.062,N/A,1.867,147.224
2007,4.641,1412.223,937.658,24.956,1.169,0.002,0.169,N/A,1.979,2.353,2.66,5.013,5.46,10.047,1250.07,22.891,1.185,0.002,0.195,N/A,1.906,141.082
2008,4.731,1633.103,1139.264,25.438,1.267,0.006,0.124,N/A,1.99,1.749,2.753,4.502,5.705,10.325,1447.32,23.021,1.347,0.007,0.139,N/A,1.853,148.592
2009,4.061,1337.288,823.344,26.391,0.798,0.012,0.073,N/A,1.931,1.87,2.043,3.913,2.908,9.68,1224.12,24.2,0.799,0.01,0.081,N/A,1.777,149.525
2010,6.02,1348.815,778.079,25.086,1.342,0.006,0.058,N/A,2.121,1.82,1.786,3.606,3.406,10.93,1231.3,22.407,1.316,0.006,0.056,N/A,1.933,150.769
2011,4.669,1675.611,1078.204,24.068,1.33,0.003,0.125,N/A,2.062,2.183,2.566,4.749,3.477,9.898,1567.89,20.781,1.475,0.003,0.143,N/A,1.883,125.434
2012,6.239,1178.228,637.861,22.478,1.349,0.004,0.187,N/A,1.912,2.628,2.228,4.856,2.876,11.973,1093.83,21.728,1.37,0.004,0.222,N/A,1.838,130.051
2013,5.137,1443.333,874.973,21.842,1.251,0.004,0.203,N/A,1.77,2.237,2.395,4.632,2.957,10.434,1241.64,21.017,1.395,0.003,0.212,N/A,1.734,127.012
2014,3.617,1161.587,713.212,21.613,1.04,0.006,0.272,N/A,1.787,1.663,2.185,3.848,2.292,9.389,1104.46,16.904,1.083,0.005,0.333,N/A,1.446,124.718
2015,4.097,1353.951,702.095,22.104,1.226,0.006,0.196,N/A,1.877,1.753,1.994,3.747,2.019,9.583,1202.46,19.893,1.44,0.006,0.227,N/A,1.712,135.52
2016,5.869,1269.246,657.648,22.746,1.897,0.005,0.107,N/A,1.776,2.162,1.633,3.795,1.656,11.625,1113.48,21.191,2.125,0.005,0.123,N/A,1.709,N/A
2017,5.192,1457.706,916.737,21.634,1.392,0.01,0.097,N/A,1.679,4.796,2.193,6.989,2.128,10.514,1250.47,19.135,1.473,0.009,0.111,N/A,1.558,N/A
2018,5.253,1326.388,734.712,22.382,1.322,0.01,0.101,N/A,1.823,2.54,1.936,4.476,1.904,10.619,1154,19.348,1.342,0.01,0.119,N/A,1.74,N/A
