WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.475416591,1176.989994,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.664166735,1118.129993,107.9808,N/A,N/A,N/A,N/A,N/A,N/A
1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.797500024,1256.130016,110.6844,N/A,N/A,N/A,N/A,N/A,N/A
1984,N/A,879.84,857.1757601,N/A,N/A,N/A,N/A,N/A,N/A,1.757492697,0.949636771,2.707129468,4.84881015,4.298333218,1119.329994,104.2994,N/A,N/A,N/A,N/A,N/A,N/A
1985,5.178630137,1109.8,599.5735916,N/A,9.031736527,N/A,N/A,0.009282188,0.002556842,4.203976059,1.280319223,5.484295282,19.78946855,4.710833336,1194.309998,113.2518,N/A,3.807772005,N/A,N/A,0.002007932,0.001911853
1986,5.044383562,1192.5,574.8087958,N/A,9.753900709,N/A,N/A,0.012911111,0.001779283,5.303179861,2.148726047,7.451905908,14.08779163,4.437916522,1195.279999,120.66635,N/A,3.201736149,N/A,N/A,0.001163147,0.00113014
1987,5.568767123,944.5,368.8906806,N/A,10.08439716,N/A,N/A,0.014679167,0.001546854,7.693135458,2.730609129,10.42374459,21.14834457,4.824583183,1001.410011,119.65085,N/A,3.356912736,N/A,N/A,0.001352703,0.00083901
1988,5.398907104,958.2,359.0411937,N/A,9.11978022,N/A,N/A,0.011745455,0.006679971,4.188154297,1.488719403,5.6768737,10.01529629,4.913333357,1027.910004,109.40715,N/A,2.265535906,N/A,N/A,0.001157359,0.001664505
1989,5.267123288,962.7,424.4185131,N/A,8.304123711,N/A,N/A,0.007258065,0.004450808,1.963225603,0.954846144,2.918071747,10.47749745,4.355416695,1074.920017,110.8641,N/A,3.07286795,N/A,N/A,0.000973911,0.001596758
1990,5.048219178,839,345.0921823,N/A,10.403125,N/A,N/A,0.010009375,0.004396241,4.605871466,1.667324278,6.273195744,9.484661677,4.38166676,995.200016,119.14035,N/A,3.250147948,N/A,N/A,0.001036719,0.001588272
1991,5.635342466,1003.3,457.3528748,N/A,9.033009709,N/A,N/A,0.008238889,0.003452288,2.421016739,1.142883103,3.563899842,6.765492836,5.465833217,1164.460003,115.2214,N/A,2.679640534,N/A,N/A,0.000865007,0.001299089
1992,4.509562842,877.1,382.5795393,N/A,9.122340426,N/A,N/A,0.008484375,0.003201626,3.530721801,1.729063379,5.25978518,11.92552294,4.464583257,955.4299927,123.1081,N/A,3.071611545,N/A,N/A,0.001095071,0.001397747
1993,3.590410959,997.8,538.2883979,N/A,11.93673469,N/A,N/A,0.010141463,0.002202396,2.964235431,1.111411993,4.075647424,7.547203255,3.662500078,1161.630009,111.2433,N/A,0.838330394,N/A,N/A,0.000716224,0.000204079
1994,3.209041096,911.5,444.9826178,N/A,9.690909091,N/A,N/A,0.011175,0.00285704,3.366576746,0.737356338,4.103933084,4.279427969,3.226249923,1042.759998,112.65025,N/A,1.579551438,N/A,N/A,0.001348877,0.000407694
1995,5.125479452,1040.3,505.1408796,N/A,11.538,N/A,N/A,0.013423529,0.001384623,5.047125547,1.362774235,6.409899782,6.013615893,5.033750057,1073.390003,103.83815,N/A,0.830917523,N/A,N/A,0.000837486,0.000227484
1996,3.746448087,1249.2,677.6287539,1.969428571,11.80285714,0.022,0.019777778,0.016177778,0.001253664,15.99040064,1.672839952,17.66324059,12.02873567,3.55916672,1193.129986,122.6577,0.143845397,0.69222738,0.00103374,0.0019761,0.000669859,0.000128229
1997,4.13369863,1185.9,652.8785093,1.823404255,9.553191489,0.017155556,0.021957447,0.01326383,0.001344085,3.29355457,1.132424828,4.425979398,7.732381063,4.084166487,1263.18,103.75755,0.218413296,0.773205594,0.001950416,0.004941647,0.00103309,0.000216963
1998,5.875890411,743.7,283.9192197,5.688888889,11.59166667,0.02025,0.096555556,0.017351351,0.00578497,2.786647511,1.282460972,4.069108483,8.680130578,5.860833238,811.3000011,136.41085,0.551582026,1.172146742,0.004121427,0.012693041,0.001385341,0.000607191
1999,5.665205479,684.1,238.0879398,4.753846154,11.75,0.011461538,0.055461538,0.011107692,0.004885703,2.171563651,0.777872975,2.949436626,4.752778379,5.826666832,858.2199898,116.6934,0.592611403,1.437633673,0.001500005,0.009333229,0.001527602,0.000682923
2000,5.466939891,1041,473.0747737,2.413548387,12.54375,0.01116129,0.016774194,0.012593548,0.001884254,3.776651055,1.09375772,4.870408775,5.229789483,5.827916602,1118.169991,120.3037,0.165262119,0.874106302,0.000530969,0.00121297,0.000590071,0.000141103
2001,4.484931507,950.5,365.197494,1.933333333,13.33333333,0.014551724,0.009862069,0.01428,0.001202837,10.61181208,3.175889468,13.78770155,12.95735657,4.462916833,997.6900101,121.01895,0.123132876,0.69430983,0.000557477,0.00095187,0.000546392,0.000122298
2002,6.076712329,1147.7,507.5639598,2.263,11.425,0.012380952,0.010380952,0.009425,0.001801338,1.957156913,1.411334672,3.368491585,18.49238077,6.059583147,1165.970013,133.35525,0.105213294,0.378558105,0.000378218,0.00037317,0.000282743,8.41E-05
2003,4.42,876.1,332.4037292,4.238064516,11.41785714,0.014709677,0.033333333,0.010832258,0.004467937,3.259926326,1.139638612,4.399564938,6.711224083,4.072083374,946.2800064,132.2988,0.300929616,1.116246381,0.001489612,0.004879252,0.001035879,0.000309493
2004,5.11147541,1072.9,581.897566,2.624444444,11.98888889,0.013,0.028222222,0.010222222,0.00226568,3.773402185,0.956721538,4.730123723,5.799056448,4.733749966,1144.059982,136.8985,0.289787085,1.216416984,0.001407903,0.006470872,0.000962395,0.000305442
2005,4.841917808,804.1,346.1129742,3.095,12.96666667,0.010758621,0.013448276,0.01008,0.003096875,8.475076626,1.872884083,10.34796071,14.08140906,4.320416739,888.1900005,136.09,0.307506023,0.964769798,0.001410688,0.001450227,0.000783727,0.000337791
2006,6.327671233,964.8,430.8760771,2.864444444,11.4,0.009214286,0.010142857,0.009889655,0.002875464,7.430698126,1.503300652,8.933998778,9.027154814,6.311666489,1063.219997,124.859,0.307383267,1.004382918,0.001043247,0.001883074,0.000771774,0.000360135
2007,5.348767123,1063.7,491.4553723,2.253658537,13.36829268,0.016731707,0.015285714,0.013571429,0.001733385,1.68633245,0.677802937,2.364135387,4.535364928,5.320833504,1046.440002,138.4765,0.253184072,1.339723789,0.001801099,0.003404102,0.001162908,0.000278476
2008,5.345933971,1016.5,463.5018606,2.883636364,11.10967742,0.015939394,0.012181818,0.010890909,0.002902558,N/A,N/A,N/A,N/A,5.217916499,1179.450012,140.8105,0.200701056,0.746410695,0.000800649,0.002054532,0.000525172,0.000238476
2009,4.536742466,1046.5,637.9321756,1.515319149,13.1755102,0.010693878,0.01044898,0.013918367,0.000808958,N/A,N/A,N/A,N/A,4.48041652,1264.779995,139.73755,0.129276279,0.917948946,0.00066659,0.001388546,0.000760199,0.000123859
2010,6.61009863,899.6,418.7156645,1.628387097,14.10322581,0.011290323,0.014709677,0.019893333,0.000725463,N/A,N/A,N/A,N/A,5.723749886,900.46,130.8906,0.086837917,0.634378687,0.000320254,0.000705502,0.000679024,5.55E-05
2011,5.410134247,1107.712,562.2512324,1.883902439,13.04390244,0.019756098,0.016926829,0.01817561,0.001208607,N/A,N/A,N/A,N/A,4.847499947,1182.660004,114.3018,0.175928334,1.046355382,0.00167777,0.003596991,0.000980204,0.000162631
2012,7.051931694,912.44,385.4101571,3.393548387,12.73225806,0.013225806,0.028645161,0.013219355,0.003024675,N/A,N/A,N/A,N/A,6.987916609,973.6299934,153.15775,0.290688977,1.161784171,0.001161952,0.005719782,0.001230322,0.00029743
2013,5.677443836,1100.68,622.3123979,1.772903226,10.69032258,0.004322581,0.015677419,0.008367742,0.001517183,N/A,N/A,N/A,N/A,5.541666627,1196.98,130.2031,0.280580789,1.339212554,0.000716784,0.006902372,0.001392445,0.000266726
2014,3.565994521,923.12,679.5348691,1.805925926,10.25925926,0.006740741,0.016,0.007377778,0.001557124,N/A,N/A,N/A,N/A,3.502916863,1142.120003,119.56785,0.215665344,1.195295023,0.001379286,0.005966511,0.001000275,0.000201954
2015,N/A,N/A,N/A,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.859999915,1123.570004,105.46315,N/A,N/A,N/A,N/A,N/A,N/A
2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.206666579,1024.959995,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.456249972,1084.540005,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.96499978,1025.640005,N/A,N/A,N/A,N/A,N/A,N/A,N/A
